Rank,Propensity Score,Name,Job Title,Company,Person Location,Company HQ,Email,LinkedIn,Recent Publication,Conference,Funding Stage,Similar Tech Used,Biotech Hub
37,62,Dr. Sample Name 37,Research Scientist,BioCompany37,Various Locations,Global HQ,sample37@biocompany.com,linkedin.com/in/sample37,No,None,Private,No,No
38,63,Dr. Sample Name 38,Research Scientist,BioCompany38,Various Locations,Global HQ,sample38@biocompany.com,linkedin.com/in/sample38,No,None,Private,No,No
39,64,Dr. Sample Name 39,Research Scientist,BioCompany39,Various Locations,Global HQ,sample39@biocompany.com,linkedin.com/in/sample39,No,None,Private,No,No
40,65,Dr. Sample Name 40,Research Scientist,BioCompany40,Various Locations,Global HQ,sample40@biocompany.com,linkedin.com/in/sample40,No,None,Private,No,No
41,66,Dr. Sample Name 41,Research Scientist,BioCompany41,Various Locations,Global HQ,sample41@biocompany.com,linkedin.com/in/sample41,No,None,Private,No,No
42,67,Dr. Sample Name 42,Research Scientist,BioCompany42,Various Locations,Global HQ,sample42@biocompany.com,linkedin.com/in/sample42,No,None,Private,No,No
43,68,Dr. Sample Name 43,Research Scientist,BioCompany43,Various Locations,Global HQ,sample43@biocompany.com,linkedin.com/in/sample43,No,None,Private,No,No
44,69,Dr. Sample Name 44,Research Scientist,BioCompany44,Various Locations,Global HQ,sample44@biocompany.com,linkedin.com/in/sample44,No,None,Private,No,No
45,55,Dr. Sample Name 45,Research Scientist,BioCompany45,Various Locations,Global HQ,sample45@biocompany.com,linkedin.com/in/sample45,No,None,Private,No,No
46,56,Dr. Sample Name 46,Research Scientist,BioCompany46,Various Locations,Global HQ,sample46@biocompany.com,linkedin.com/in/sample46,No,None,Private,No,No
47,57,Dr. Sample Name 47,Research Scientist,BioCompany47,Various Locations,Global HQ,sample47@biocompany.com,linkedin.com/in/sample47,No,None,Private,No,No
48,58,Dr. Sample Name 48,Research Scientist,BioCompany48,Various Locations,Global HQ,sample48@biocompany.com,linkedin.com/in/sample48,No,None,Private,No,No
49,59,Dr. Sample Name 49,Research Scientist,BioCompany49,Various Locations,Global HQ,sample49@biocompany.com,linkedin.com/in/sample49,No,None,Private,No,No
50,60,Dr. Sample Name 50,Research Scientist,BioCompany50,Various Locations,Global HQ,sample50@biocompany.com,linkedin.com/in/sample50,No,None,Private,No,No
51,61,Dr. Sample Name 51,Research Scientist,BioCompany51,Various Locations,Global HQ,sample51@biocompany.com,linkedin.com/in/sample51,No,None,Private,No,No
52,62,Dr. Sample Name 52,Research Scientist,BioCompany52,Various Locations,Global HQ,sample52@biocompany.com,linkedin.com/in/sample52,No,None,Private,No,No
53,63,Dr. Sample Name 53,Research Scientist,BioCompany53,Various Locations,Global HQ,sample53@biocompany.com,linkedin.com/in/sample53,No,None,Private,No,No
54,64,Dr. Sample Name 54,Research Scientist,BioCompany54,Various Locations,Global HQ,sample54@biocompany.com,linkedin.com/in/sample54,No,None,Private,No,No
55,65,Dr. Sample Name 55,Research Scientist,BioCompany55,Various Locations,Global HQ,sample55@biocompany.com,linkedin.com/in/sample55,No,None,Private,No,No
56,66,Dr. Sample Name 56,Research Scientist,BioCompany56,Various Locations,Global HQ,sample56@biocompany.com,linkedin.com/in/sample56,No,None,Private,No,No
57,67,Dr. Sample Name 57,Research Scientist,BioCompany57,Various Locations,Global HQ,sample57@biocompany.com,linkedin.com/in/sample57,No,None,Private,No,No
58,68,Dr. Sample Name 58,Research Scientist,BioCompany58,Various Locations,Global HQ,sample58@biocompany.com,linkedin.com/in/sample58,No,None,Private,No,No
59,69,Dr. Sample Name 59,Research Scientist,BioCompany59,Various Locations,Global HQ,sample59@biocompany.com,linkedin.com/in/sample59,No,None,Private,No,No
60,55,Dr. Sample Name 60,Research Scientist,BioCompany60,Various Locations,Global HQ,sample60@biocompany.com,linkedin.com/in/sample60,No,None,Private,No,No
61,56,Dr. Sample Name 61,Research Scientist,BioCompany61,Various Locations,Global HQ,sample61@biocompany.com,linkedin.com/in/sample61,No,None,Private,No,No
62,57,Dr. Sample Name 62,Research Scientist,BioCompany62,Various Locations,Global HQ,sample62@biocompany.com,linkedin.com/in/sample62,No,None,Private,No,No
63,58,Dr. Sample Name 63,Research Scientist,BioCompany63,Various Locations,Global HQ,sample63@biocompany.com,linkedin.com/in/sample63,No,None,Private,No,No
64,59,Dr. Sample Name 64,Research Scientist,BioCompany64,Various Locations,Global HQ,sample64@biocompany.com,linkedin.com/in/sample64,No,None,Private,No,No
65,60,Dr. Sample Name 65,Research Scientist,BioCompany65,Various Locations,Global HQ,sample65@biocompany.com,linkedin.com/in/sample65,No,None,Private,No,No
66,61,Dr. Sample Name 66,Research Scientist,BioCompany66,Various Locations,Global HQ,sample66@biocompany.com,linkedin.com/in/sample66,No,None,Private,No,No
67,62,Dr. Sample Name 67,Research Scientist,BioCompany67,Various Locations,Global HQ,sample67@biocompany.com,linkedin.com/in/sample67,No,None,Private,No,No
68,63,Dr. Sample Name 68,Research Scientist,BioCompany68,Various Locations,Global HQ,sample68@biocompany.com,linkedin.com/in/sample68,No,None,Private,No,No
69,64,Dr. Sample Name 69,Research Scientist,BioCompany69,Various Locations,Global HQ,sample69@biocompany.com,linkedin.com/in/sample69,No,None,Private,No,No
70,65,Dr. Sample Name 70,Research Scientist,BioCompany70,Various Locations,Global HQ,sample70@biocompany.com,linkedin.com/in/sample70,No,None,Private,No,No
71,66,Dr. Sample Name 71,Research Scientist,BioCompany71,Various Locations,Global HQ,sample71@biocompany.com,linkedin.com/in/sample71,No,None,Private,No,No
72,67,Dr. Sample Name 72,Research Scientist,BioCompany72,Various Locations,Global HQ,sample72@biocompany.com,linkedin.com/in/sample72,No,None,Private,No,No
73,68,Dr. Sample Name 73,Research Scientist,BioCompany73,Various Locations,Global HQ,sample73@biocompany.com,linkedin.com/in/sample73,No,None,Private,No,No
74,69,Dr. Sample Name 74,Research Scientist,BioCompany74,Various Locations,Global HQ,sample74@biocompany.com,linkedin.com/in/sample74,No,None,Private,No,No
75,55,Dr. Sample Name 75,Research Scientist,BioCompany75,Various Locations,Global HQ,sample75@biocompany.com,linkedin.com/in/sample75,No,None,Private,No,No
76,56,Dr. Sample Name 76,Research Scientist,BioCompany76,Various Locations,Global HQ,sample76@biocompany.com,linkedin.com/in/sample76,No,None,Private,No,No
77,57,Dr. Sample Name 77,Research Scientist,BioCompany77,Various Locations,Global HQ,sample77@biocompany.com,linkedin.com/in/sample77,No,None,Private,No,No
78,58,Dr. Sample Name 78,Research Scientist,BioCompany78,Various Locations,Global HQ,sample78@biocompany.com,linkedin.com/in/sample78,No,None,Private,No,No
79,59,Dr. Sample Name 79,Research Scientist,BioCompany79,Various Locations,Global HQ,sample79@biocompany.com,linkedin.com/in/sample79,No,None,Private,No,No
80,60,Dr. Sample Name 80,Research Scientist,BioCompany80,Various Locations,Global HQ,sample80@biocompany.com,linkedin.com/in/sample80,No,None,Private,No,No
81,61,Dr. Sample Name 81,Research Scientist,BioCompany81,Various Locations,Global HQ,sample81@biocompany.com,linkedin.com/in/sample81,No,None,Private,No,No
82,62,Dr. Sample Name 82,Research Scientist,BioCompany82,Various Locations,Global HQ,sample82@biocompany.com,linkedin.com/in/sample82,No,None,Private,No,No
83,63,Dr. Sample Name 83,Research Scientist,BioCompany83,Various Locations,Global HQ,sample83@biocompany.com,linkedin.com/in/sample83,No,None,Private,No,No
84,64,Dr. Sample Name 84,Research Scientist,BioCompany84,Various Locations,Global HQ,sample84@biocompany.com,linkedin.com/in/sample84,No,None,Private,No,No
85,65,Dr. Sample Name 85,Research Scientist,BioCompany85,Various Locations,Global HQ,sample85@biocompany.com,linkedin.com/in/sample85,No,None,Private,No,No
86,66,Dr. Sample Name 86,Research Scientist,BioCompany86,Various Locations,Global HQ,sample86@biocompany.com,linkedin.com/in/sample86,No,None,Private,No,No
87,67,Dr. Sample Name 87,Research Scientist,BioCompany87,Various Locations,Global HQ,sample87@biocompany.com,linkedin.com/in/sample87,No,None,Private,No,No
88,68,Dr. Sample Name 88,Research Scientist,BioCompany88,Various Locations,Global HQ,sample88@biocompany.com,linkedin.com/in/sample88,No,None,Private,No,No
89,69,Dr. Sample Name 89,Research Scientist,BioCompany89,Various Locations,Global HQ,sample89@biocompany.com,linkedin.com/in/sample89,No,None,Private,No,No
90,55,Dr. Sample Name 90,Research Scientist,BioCompany90,Various Locations,Global HQ,sample90@biocompany.com,linkedin.com/in/sample90,No,None,Private,No,No
91,56,Dr. Sample Name 91,Research Scientist,BioCompany91,Various Locations,Global HQ,sample91@biocompany.com,linkedin.com/in/sample91,No,None,Private,No,No
92,57,Dr. Sample Name 92,Research Scientist,BioCompany92,Various Locations,Global HQ,sample92@biocompany.com,linkedin.com/in/sample92,No,None,Private,No,No
93,58,Dr. Sample Name 93,Research Scientist,BioCompany93,Various Locations,Global HQ,sample93@biocompany.com,linkedin.com/in/sample93,No,None,Private,No,No
94,59,Dr. Sample Name 94,Research Scientist,BioCompany94,Various Locations,Global HQ,sample94@biocompany.com,linkedin.com/in/sample94,No,None,Private,No,No
95,60,Dr. Sample Name 95,Research Scientist,BioCompany95,Various Locations,Global HQ,sample95@biocompany.com,linkedin.com/in/sample95,No,None,Private,No,No
96,61,Dr. Sample Name 96,Research Scientist,BioCompany96,Various Locations,Global HQ,sample96@biocompany.com,linkedin.com/in/sample96,No,None,Private,No,No
97,62,Dr. Sample Name 97,Research Scientist,BioCompany97,Various Locations,Global HQ,sample97@biocompany.com,linkedin.com/in/sample97,No,None,Private,No,No
98,63,Dr. Sample Name 98,Research Scientist,BioCompany98,Various Locations,Global HQ,sample98@biocompany.com,linkedin.com/in/sample98,No,None,Private,No,No
99,64,Dr. Sample Name 99,Research Scientist,BioCompany99,Various Locations,Global HQ,sample99@biocompany.com,linkedin.com/in/sample99,No,None,Private,No,No
100,65,Dr. Sample Name 100,Research Scientist,BioCompany100,Various Locations,Global HQ,sample100@biocompany.com,linkedin.com/in/sample100,No,None,Private,No,No
